date,description,debit,credit
2024-09-01,   ATM WDL-ATM CASH 8346  ANJANAPURA BANGALORE  BANGALORE--,10000, 
2024-09-01,   ATM WDL-ATM CASH 8347  ANJANAPURA BANGALORE  BANGALORE--,10000, 
2024-09-01,   BY TRANSFER-INB pgr--, ,100000
2024-09-02,   TO TRANSFER-UPI/DR/************/CRED/UTIB/cred.club@/payment--,70592.44, 
2024-09-02,   BY TRANSFER-INB pgr--, ,50000
2024-09-03,   DEBIT-ACHDr NACH************** IDFC FIRST BAN--,9081, 
2024-09-03,   DEBIT-ACHDr NACH************** RAZORPAYSOFTWA--,37646, 
2024-09-04,   TO TRANSFER-UPI/DR/************/RAMAMOHA/KKBK/**********/UPI--,3500, 
2024-09-04,   TO TRANSFER-UPI/DR/************/RANJITHA S/HDFC/ranjithas2/UPI--,40000, 
2024-09-04,   BY TRANSFER-INB pgr--, ,75000
2024-09-04,   ATM WDL-ATM CASH 1776  KONANAKUNTE-2         BENGALURU--,20000, 
2024-09-04,   TO TRANSFER-UPI/DR/************/POLA SAI/HDFC/polasatvik/UPI--,17000, 
2024-09-05,   TO TRANSFER-UPI/DR/************/BALAJI R/BARB/balaj95700/UPI--,3067, 
2024-09-05,   TO TRANSFER-UPI/DR/************/SHYLAJA /CNRB/**********/UPI--,25000, 
2024-09-05,   BY TRANSFER-INB pgr--, ,30000
2024-09-06,   TO TRANSFER-UPI/DR/************/MADHU V/KARB/nvmadhu9-2/UPI--,2400, 
2024-09-06,   BY TRANSFER-INB pgr--, ,40000
2024-09-06,   TO TRANSFER-UPI/DR/************/MALLESH /KARB/mallesh.dn/UPI--,3000, 
2024-09-06,   TO TRANSFER-UPI/DR/************/MEGHA N/HDFC/meghabalu3/UPI--,6000, 
2024-09-06,   TO TRANSFER-UPI/DR/************/Smart Po/JIOP/**********/UPI--,42.28, 
2024-09-07,   DEBIT-ACHDr NACH************** RAZORPAYSOFTWA--,36678, 
2024-09-07,   TO TRANSFER-UPI/DR/************/KAGGISBA/YESB/paytmqr11n/UPI--,310, 
